index,geneDescription,pos,geneId,cluster
1,CD99 Chr:xp22.32; yp11.3,243,201028_s_at,G2
2,FER1L3 Chr:10q24,331,201798_s_at,G2
3,IF Chr:4q25,632,203854_at,G2
4,DPYD Chr:1p22,802,204646_at,G2
5,SERPING1 Chr:11q12-q13.1,239,200986_at,G2
6,ANXA2 Chr:15q21-q22,1466,210427_x_at,G2
7,ANXA2 Chr:15q21-q22,303,201590_x_at,G2
8,ANXA2 Chr:15q21-q22,1723,213503_x_at,G2
9,ANXA2P1 Chr:4q21-q31,1243,208816_x_at,G2
10,VIM Chr:10p13,291,201426_s_at,G2
11,C1S Chr:12p13,1238,208747_s_at,G2
12,C1R Chr:12p13,1569,212067_s_at,G2
13,ELK3 Chr:12q23,2264,221773_at,G2
14,PROS1 Chr:3q11.2,1190,207808_s_at,G2
15,SHC1 Chr:1q21,1874,214853_s_at,G2
16,C1RL Chr:12p13.31,2082,218983_at,G2
17,CLIC1 Chr:6p22.1-p21.2,1234,208659_at,G2
18,FGG Chr:4q28,2653,226621_at,G2
19,--- ---,2864,228141_at,G2
1,MELK Chr:9p13.1,848,204825_at,G6
2,KNTC2 Chr:18p11.31,704,204162_at,G6
3,KIAA0101 Chr:15q22.1,429,202503_s_at,G6
4,RRM2 Chr:2p25-p24,1383,209773_s_at,G6
5,RRM2 Chr:2p25-p24,344,201890_at,G6
6,NUSAP1 Chr:15q14,2003,218039_at,G6
7,FKSG14 Chr:5p15.2-q12.3,2334,222848_at,G6
8,HCAP-G Chr:4p16-p15,2040,218662_s_at,G6
9,BUB1B Chr:15q15,617,203755_at,G6
10,CCNB1 Chr:5q12,1858,214710_s_at,G6
1,DNALI1 Chr:1p35.1,905,205186_at,G5
11,ZWINT Chr:10q21-q22,669,204026_s_at,G6
12,CDC2 Chr:10q21.1,532,203213_at,G6
13,ASK Chr:7q21.3,720,204244_s_at,G6
14,STK6 Chr:20q13.2-q13.3,1204,208079_s_at,G6
15,TOP2A Chr:17q21-q22,277,201292_at,G6
16,TPX2 Chr:20q11.2,1429,210052_s_at,G6
17,TOP2A Chr:17q21-q22,276,201291_s_at,G6
18,CCNB2 Chr:15q21.3,459,202705_at,G6
19,KIF20A Chr:5q31,2052,218755_at,G6
20,EZH2 Chr:7q35-q36,553,203358_s_at,G6
2,FLJ23129 Chr:1p31.3,42,1554140_at,G5
3,LOC128153 Chr:1q41,3187,230763_at,G5
4,FLJ23129 Chr:1p31.3,3075,229816_at,G5
5,LOC128344 Chr:1p13.2,2857,228100_at,G5
6,DKFZP434H0115 Chr:17q21.31,2423,223924_at,G5
7,AAT1 Chr:3q12-q13.3,50,1554528_at,G5
8,MAK Chr:6q22,2203,220302_at,G5
9,FLJ32783 Chr:Xp11.23,3450,235946_at,G5
10,KIAA1505 Chr:7p12.3,2724,227091_at,G5
11,MGC20470 Chr:11p15.4,3217,231077_at,G5
1,GREM1 Chr:15q13-q15,2023,218469_at,G4
21,DLG7 Chr:14q22.2,618,203764_at,G6
22,TOPK Chr:8p21.2,2094,219148_at,G6
23,CDC20 Chr:1p34.1,486,202870_s_at,G6
24,FLJ11029 Chr:17q23.2,2878,228273_at,G6
25,HCAP-G Chr:4p16-p15,2041,218663_at,G6
26,ECT2 Chr:3q26.1-q26.2,2169,219787_s_at,G6
27,CCNB1 Chr:5q12,2941,228729_at,G6
28,PTTG1 Chr:5q35.1,584,203554_x_at,G6
29,PIR51 Chr:12p13.2-p13.1,697,204146_at,G6
12,FLJ23598 Chr:11p11.2,2208,220390_at,G5
13,FLJ22843 Chr:xp11.4,2216,220591_s_at,G5
14,SPA17 Chr:11q24.2,945,205406_s_at,G5
15,LOC136288 Chr:7p12.3,125,1557636_a_at,G5
16,AAT1 Chr:3q12-q13.3,3470,236222_at,G5
17,CAPS Chr:19p13.3,3249,231729_s_at,G5
18,FLJ40873 Chr:1p31.3,32,1553635_s_at,G5
19,DKFZP586M1120 Chr:17p11.2,1208,208140_s_at,G5
20,NYD-SP29 Chr:1p22.3,3774,243087_at,G5
21,ZMYND10 Chr:3p21.3,1007,205714_s_at,G5
2,CAPN3 Chr:15q15.1-q21.1,1552,211890_x_at,G4
3,CAPN3 Chr:15q15.1-q21.1,1496,210944_s_at,G4
4,CAPN3 Chr:15q15.1-q21.1,1843,214475_x_at,G4
5,MOG Chr:6p22-p21.3,1551,211836_s_at,G4
6,FLJ11155 Chr:4q32.1,2926,228624_at,G4
7,KLK6 Chr:19q13.3,829,204733_at,G4
8,FLJ11155 Chr:4q32.1,2164,219750_at,G4
9,FLJ11155 Chr:4q32.1,1981,217613_at,G4
10,C20orf35 Chr:20q13.12,2006,218094_s_at,G4
11,MOG Chr:6p22-p21.3,1040,205989_s_at,G4
1,COL1A2 Chr:7q22.1,410,202404_s_at,G7
1,SART2 Chr:6q22,2063,218854_at,G8
30,KIF4A Chr:xq13.1,2019,218355_at,G6
31,CENPA Chr:2p24-p21,868,204962_s_at,G6
32,KLIP1 Chr:4q35.1,2069,218883_s_at,G6
33,PRC1 Chr:15q26.1,2002,218009_s_at,G6
34,CDC2 Chr:10q21.1,1475,210559_s_at,G6
35,CENPF Chr:1q32-q41,1192,207828_s_at,G6
36,BUB1 Chr:2q14,1362,209642_at,G6
37,ATAD2 Chr:8q24.13,2324,222740_at,G6
22,PF6 Chr:1p12,3340,233516_s_at,G5
23,DNAH9 Chr:17p12,3677,240857_at,G5
24,LOC129881 Chr:2q31.1,3518,236909_at,G5
25,MGC35194 Chr:1p36.21,3241,231549_at,G5
26,LOC165186 Chr:2p23.3,3508,236717_at,G5
27,FLJ25333 Chr:5q15,3659,240065_at,G5
28,AKAP28 Chr:xq25,3533,237281_at,G5
29,C10orf79 Chr:10q25.1,3218,231084_at,G5
